"","X","network_number","dataset_id","type","nnodes","nedges","connectance","linkage_density","network_description","doi","year","first_author","paper_url","ecosystem","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","ID","solar_radiation","ID.1","human_footprint","network_number_list","distance","sq_wasserstein_in_out_location_PERC","sq_wasserstein_in_out_size_PERC","sq_wasserstein_in_out_shape_PERC"
"29",29,"Network #1471","Dataset #99","antagonistic",27,47,0.0644718792866941,1.74074074074074,"The insect community of a dog carcass in a premontane humid forest, University of Costa Rica, Costa Rica",NA,1981,"jiron","https://www.jstor.org/stable/pdf/25009256.pdf","terrestrial",244.666666666667,93.3333333333333,65.3333333333333,1051.66666666667,326.666666666667,182.666666666667,144,245,241.666666666667,257.666666666667,233.333333333333,1680.66666666667,1815.33333333333,1517.66666666667,9636,1779,1560.33333333333,1657.33333333333,1611.33333333333,213,19417.25,213,46,"Network #1471",0.295626003027279,53.0145360736037,13.5326326191762,33.4528313072201
"30",30,"Network #1451","Dataset #87","antagonistic",9,15,0.185185185185185,1.66666666666667,"The food web structure of N. distillatoria in Sri Lanka ","10.1111/j.1365-2311.1985.tb00720.x",1985,"beaver","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2311.1985.tb00720.x","freshwater",264.666666666667,96.6666666666667,54,1579.33333333333,362,177.333333333333,184,275,253.333333333333,283.666666666667,245,1787,1975,1553.66666666667,13162.3333333333,1928.33333333333,1611.33333333333,1855.33333333333,1651,214,20017.75,214,7.74521112442017,"Network #1451",0.0737262375554284,66.98119650044,2.47550684380044,30.5432966557596
"31",31,"Network #1218","Dataset #15","antagonistic",53,183,0.0651477394090424,3.45283018867925,"Food web of pelagic communities of small lakes and ponds of the Burntbridge Lake.","10.1126/science.257.5073.1107",1992,"karl havens","https://doi.org/10.1126%2Fscience.257.5073.1107","freshwater",49.6666666666667,276.666666666667,45.6666666666667,11740.3333333333,285.333333333333,-319.333333333333,604.666666666667,170.333333333333,-108,172,-111.333333333333,703.666666666667,1225.66666666667,235.333333333333,34405.3333333333,1141.66666666667,292,1137.66666666667,297.333333333333,215,12327,215,1,"Network #1218",2.08942258837305e-17,0,0,100
"32",32,"Network #1064","Dataset #74","antagonistic",38,242,0.167590027700831,6.36842105263158,"Food web of the bare sediment ecosystem of the Mondego bay estuary","10.1016/j.ecolmodel.2010.12.010",2011,"alexandra baeta","https://doi.org/10.1016%2Fj.ecolmodel.2010.12.010","coastal",176,85.6666666666667,41.6666666666667,3378,285.333333333333,85,200.333333333333,211.666666666667,141,216.666666666667,136.666666666667,912,1158.33333333333,702.333333333333,15037.6666666667,1101,742.333333333333,1078.66666666667,757,217,15706.5833333333,217,41.052864074707,"Network #1064",0.0300692171153042,0.893649787422222,46.5946660014624,52.5116842111153
"33",33,"Network #88","Dataset #24","antagonistic",46,131,0.0619092627599244,2.84782608695652,"Diets of common micronekton and macrozooplankton species in the Antarctic ice edge zone during winter","10.1007/bf00240204",1991,"thomas m. lancraft","https://doi.org/10.1007%2Fbf00240204","coastal",-8.66666666666667,83.3333333333333,40.6666666666667,3385.33333333333,53.3333333333333,-155,208,27,-53.3333333333333,27.3333333333333,-54,322,400.333333333333,247.666666666667,5117.66666666667,385.666666666667,260.333333333333,384.666666666667,261.333333333333,218,NA,218,NA,"Network #88",0.0396677435855181,28.7997269714174,18.6972895657507,52.5029834628319
"34",34,"Network #1260","Dataset #15","antagonistic",53,281,0.100035599857601,5.30188679245283,"Food web of pelagic communities of small lakes and ponds of the Stink Lake.","10.1126/science.257.5073.1107",1992,"karl havens","https://doi.org/10.1126%2Fscience.257.5073.1107","freshwater",52,281,45.3333333333333,11868.6666666667,289.333333333333,-327.666666666667,617.333333333333,173.333333333333,-108,174.666666666667,-111,710.666666666667,1238,237,34689,1153.33333333333,297,1150.33333333333,303,219,12327,219,1,"Network #1260",2.15330661898956e-17,0,0,100
"35",35,"Network #1488","Dataset #112","antagonistic",66,234,0.0537190082644628,3.54545454545455,"Food web structure of a wet Tropic river (Mulgrave River), Australia","10.1071/mf09202",2010,"rayner","http://www.publish.csiro.au/mf/MF09202","freshwater",241.666666666667,143.333333333333,52.3333333333333,3581.66666666667,392.666666666667,112.333333333333,280.333333333333,258.666666666667,208.666666666667,281.666666666667,195.666666666667,1336,1775.33333333333,929.666666666667,29094,1697.33333333333,995,1437.66666666667,1060.33333333333,220,19639.4166666667,220,2,"Network #1488",0.00490768567670492,19.0908379598133,13.7155701759763,67.1935918642104
"36",36,"Network #1559","Dataset #148","antagonistic",24,42,0.0729166666666667,1.75,"Food web structure of the woolly stem galls of Asphondylia on A. polycarpa, southern California, USA","10.1111/j.1365-2311.1984.tb00851.x",1984,"hawkins","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2311.1984.tb00851.x","terrestrial",184.666666666667,282,60.3333333333333,6756.33333333333,437,-30.6666666666667,468.333333333333,264.666666666667,119,268.666666666667,106.333333333333,591.333333333333,912.666666666667,409.333333333333,15843.6666666667,809.666666666667,444,782.333333333333,462.333333333333,221,19156.9166666667,221,7.74087476730347,"Network #1559",0.0313157296967834,1.99580212899907,3.99529420059923,94.0089036704017
"37",37,"Network #1066","Dataset #74","antagonistic",26,103,0.152366863905325,3.96153846153846,"Food web of the bare sediment ecosystem of the Mondego bay estuary","10.1016/j.ecolmodel.2010.12.010",2011,"alexandra baeta","https://doi.org/10.1016%2Fj.ecolmodel.2010.12.010","coastal",176,85.6666666666667,41.6666666666667,3378,285.333333333333,85,200.333333333333,211.666666666667,141,216.666666666667,136.666666666667,912,1158.33333333333,702.333333333333,15037.6666666667,1101,742.333333333333,1078.66666666667,757,222,15706.5833333333,222,41.052864074707,"Network #1066",0.0212866429931373,0.655581919273239,48.7491270415315,50.5952910391953
"38",38,"Network #1567","Dataset #155","antagonistic",26,70,0.103550295857988,2.69230769230769,"Food web structure of an intertidal zone in San Simon Bay, Spain","10.1016/j.csr.2010.10.010",2011,"filgueira","https://www.sciencedirect.com/science/article/pii/S0278434310003274","coastal",174.666666666667,168,49.6666666666667,5357,367.333333333333,30.6666666666667,337.666666666667,235.333333333333,122.333333333333,243,112,813.333333333333,1024.66666666667,621,13281,967.333333333333,660.666666666667,947.333333333333,684.333333333333,223,13858.5833333333,223,NA,"Network #1567",0.0199486577682927,8.43717527822838,27.4953940228586,64.0674306989131
"39",39,"Network #1564","Dataset #153","antagonistic",39,229,0.150558842866535,5.87179487179487,"Food web structure in term of diet composition of Braco Morto Acima (MAC model), Pantanal Plain, Paraguay River basin, Brazil","10.1016/j.ecolmodel.2013.01.001",2013,"angelini","https://www.sciencedirect.com/science/article/pii/S030438001300015X","freshwater",302,245.333333333333,65.6666666666667,3822,462,90,372.333333333333,334,260.333333333333,341.333333333333,251.666666666667,1018.66666666667,1460.33333333333,589.666666666667,27858.6666666667,1341,683,1224.33333333333,729,224,15818.25,224,4.97999334335327,"Network #1564",0.0105371890469623,42.5164190288297,1.9686299090327,55.5149510621376
"40",40,"Network #1244","Dataset #15","antagonistic",65,417,0.098698224852071,6.41538461538462,"Food web of pelagic communities of small lakes and ponds of the Long Lake.","10.1126/science.257.5073.1107",1992,"karl havens","https://doi.org/10.1126%2Fscience.257.5073.1107","freshwater",55.6666666666667,277.666666666667,46.3333333333333,11628,291.666666666667,-307,599,176,-100,178.333333333333,-102,706,1248,236.333333333333,35039.3333333333,1157,294.666666666667,1152.66666666667,299.333333333333,225,12304.0833333333,225,13.4085445404053,"Network #1244",3.6011643958296e-17,0,0,100
"41",41,"Network #1452","Dataset #87","antagonistic",12,26,0.180555555555556,2.16666666666667,"The food web structure of N. madagascarensis in Madagascar","10.1111/j.1365-2311.1985.tb00720.x",1985,"beaver","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2311.1985.tb00720.x","freshwater",219.666666666667,174.666666666667,62.3333333333333,2795.66666666667,360.666666666667,81,279.333333333333,236.666666666667,191.666666666667,250,182.333333333333,1245.66666666667,1562.66666666667,931.666666666667,22466.3333333333,1515.33333333333,977,1333,1023,226,19722.1666666667,226,7.92997407913208,"Network #1452",0.0398813841004848,8.017859189385,3.40101276946209,88.5811280411529
"42",42,"Network #1228","Dataset #15","antagonistic",65,418,0.0989349112426035,6.43076923076923,"Food web of pelagic communities of small lakes and ponds of the Connery Lake.","10.1126/science.257.5073.1107",1992,"karl havens","https://doi.org/10.1126%2Fscience.257.5073.1107","freshwater",48,277.666666666667,46.6666666666667,11694.6666666667,286.666666666667,-310.666666666667,597,170.666666666667,-107,172,-110,687.666666666667,1212.66666666667,228.666666666667,34147.6666666667,1123,283.666666666667,1120,287.666666666667,227,12293,227,11.0543966293335,"Network #1228",2.19691311676253e-17,0,0,100
"43",43,"Network #1245","Dataset #15","antagonistic",35,118,0.0963265306122449,3.37142857142857,"Food web of pelagic communities of small lakes and ponds of the Loon Lake.","10.1126/science.257.5073.1107",1992,"karl havens","https://doi.org/10.1126%2Fscience.257.5073.1107","freshwater",48,277.666666666667,46.6666666666667,11694.6666666667,286.666666666667,-310.666666666667,597,170.666666666667,-107,172,-110,687.666666666667,1212.66666666667,228.666666666667,34147.6666666667,1123,283.666666666667,1120,287.666666666667,228,12293,228,7.50967359542847,"Network #1245",1.97236959017175e-17,0,0,100
"44",44,"Network #1562","Dataset #152","antagonistic",14,30,0.153061224489796,2.14285714285714,"Food web structure of a rabbit carrion after after 14 days, Chihuahan Desert, El Paso County, Texas","10.1016/s0140-1963(18)31510-6",1983,"schoenly and reid","https://www.sciencedirect.com/science/article/abs/pii/S0140196318315106","terrestrial",193.333333333333,270,55.3333333333333,8423.66666666667,440,-49.3333333333333,489,285.333333333333,114.333333333333,298.666666666667,94.3333333333333,657.666666666667,1104,354,25244,1006,403,957.333333333333,432,229,19760.1666666667,229,33.6524085998535,"Network #1562",0.207712808544501,72.0342874091548,1.57089410381399,26.3948184870312
